product_id,product_name,category,age_group,nova,nutrition_score,ingredient_score,processing_score,additive_score,final_score,grade,cliff_penalty,dominant_nutrient,missing_data,flags
56,"Lay's India's Magic Masala","Chips & Snacks",adult,4,40,50,100,0,27,D+,0,saturatedFat,false,"allergen_undeclared"
56,"Lay's India's Magic Masala","Chips & Snacks",elderly,4,40,50,100,0,27,D+,0,saturatedFat,false,"allergen_undeclared"
57,"Lay's Tomato Tango","Chips & Snacks",child,4,29,43,100,71,33,C-,0,saturatedFat,false,""
57,"Lay's Tomato Tango","Chips & Snacks",teen,4,49,43,100,71,40,C,0,saturatedFat,false,""
57,"Lay's Tomato Tango","Chips & Snacks",adult,4,41,43,100,71,37,C-,0,saturatedFat,false,""
57,"Lay's Tomato Tango","Chips & Snacks",elderly,4,41,43,100,71,37,C-,0,saturatedFat,false,""
58,"Maaza","Drinks",child,4,30,47,90,29,26,D+,0,addedSugar,false,"allergen_undeclared|amplified_exposure_category"
58,"Maaza","Drinks",teen,4,50,47,90,29,33,C-,0,addedSugar,false,"allergen_undeclared|amplified_exposure_category"
58,"Maaza","Drinks",adult,4,40,47,90,29,30,C-,0,addedSugar,false,"allergen_undeclared|amplified_exposure_category"
58,"Maaza","Drinks",elderly,4,41,47,90,29,30,C-,0,addedSugar,false,"allergen_undeclared|amplified_exposure_category"
59,"Magnum Almond","Ice Cream",child,4,29,31,100,80,33,C-,0,addedSugar,false,"amplified_exposure_category|sugar_split"
59,"Magnum Almond","Ice Cream",teen,4,50,31,100,80,40,C,0,addedSugar,false,"amplified_exposure_category|sugar_split"
